Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Shattered Landscape,22,20,6,BRW,0.0,Land,0.75,0.5238095238095238,1.0116044161617654
Preordain,55,49,15,U,1.0,Sorcery,0.8823529411764706,0.5288461538461539,1.009832955590265
Liliana of the Veil,21,24,7,B,3.0,Planeswalker,0.5833333333333334,0.4666666666666667,1.0097378470327547
Dauthi Voidwalker,58,58,16,B,2.0,Creature,1.0,0.5,1.0096689870383242
Lotus Cobra,24,27,7,G,2.0,Creature,0.7777777777777778,0.47058823529411764,1.0083497283540601
Once Upon a Time,27,28,7,G,2.0,Instant,0.7777777777777778,0.4909090909090909,1.0071783086576465
Vendilion Clique,32,27,8,U,3.0,Creature,0.6666666666666666,0.5423728813559322,1.0057707562451224
Primeval Titan,23,28,7,G,6.0,Creature,0.7777777777777778,0.45098039215686275,1.004058821445614
Warleader's Call,34,33,9,RW,3.0,Enchantment,0.6,0.5074626865671642,1.0029054563949273
Hostile Investigator,25,21,6,B,4.0,Creature,0.6,0.5434782608695652,1.0017830619197505
Godless Shrine,26,28,8,BW,0.0,Land,0.6153846153846154,0.48148148148148145,1.0006871666551993
Utopia Sprawl,29,35,9,G,1.0,Enchantment,0.6923076923076923,0.453125,1.0005471227632308
Hallowed Fountain,32,27,9,UW,0.0,Land,0.6923076923076923,0.5423728813559322,0.9998679083928663
Archon of Cruelty,28,34,9,B,8.0,Creature,0.9,0.45161290322580644,0.9992309205205435
Sevinne's Reclamation,24,26,8,W,3.0,Sorcery,0.6153846153846154,0.48,0.9991687818740485
Third Path Iconoclast,25,27,8,RU,2.0,Creature,0.5333333333333333,0.4807692307692308,0.9967274262791189
Eternal Witness,32,35,9,G,3.0,Creature,0.75,0.47761194029850745,0.996712079676994
Touch the Spirit Realm,34,31,9,W,3.0,Enchantment,0.75,0.5230769230769231,0.9961114489069507
Mishra's Factory,24,22,6,,0.0,Land,0.46153846153846156,0.5217391304347826,0.9945969122087621
Murktide Regent,24,24,7,U,7.0,Creature,0.875,0.5,0.9936008039038237
Mother of Runes,39,35,10,W,1.0,Creature,0.7142857142857143,0.527027027027027,0.9930028367727308
