Name,Win,Loss,Num,Color,Mana Value,Type,Main %,Win %,Norm %
Fiery Confluence,39,34,10,R,4.0,Sorcery,0.7692307692307693,0.5342465753424658,1.033133087149954
Victimize,30,38,10,B,3.0,Sorcery,0.7692307692307693,0.4411764705882353,0.9520412072455654
"Grist, the Hunger Tide",25,37,10,BG,3.0,Planeswalker,0.7692307692307693,0.4032258064516129,0.8864218694745924
Fetid Pools,38,34,10,BU,0.0,Land,0.7692307692307693,0.5277777777777778,0.985270962939154
Arcane Denial,42,49,13,U,2.0,Instant,0.7647058823529411,0.46153846153846156,0.9551805432514892
Chart a Course,30,35,9,U,2.0,Sorcery,0.75,0.46153846153846156,0.9173425939807807
Lush Portico,33,32,9,GW,0.0,Land,0.75,0.5076923076923077,0.9755648309498647
Urabrask's Forge,34,28,9,R,3.0,Artifact,0.75,0.5483870967741935,1.0708930190415888
"Malcolm, Alluring Scoundrel",55,33,12,U,2.0,Creature,0.75,0.625,1.230010492826946
Palantír of Orthanc,31,30,9,,3.0,Artifact,0.75,0.5081967213114754,1.0400311216829459
Shattered Landscape,22,20,6,BRW,0.0,Land,0.75,0.5238095238095238,1.0116044161617654
Death-Greeter's Champion,45,34,12,R,3.0,Creature,0.75,0.569620253164557,1.1172964641414145
Terror of the Peaks,29,36,9,R,5.0,Creature,0.75,0.4461538461538462,0.9285162064543127
"Krenko, Tin Street Kingpin",25,17,6,R,3.0,Creature,0.75,0.5952380952380952,1.1500159125544231
Bloodtithe Harvester,26,36,9,BR,2.0,Creature,0.75,0.41935483870967744,0.876309378676688
Parallax Wave,53,33,12,W,4.0,Enchantment,0.75,0.6162790697674418,1.1046069351907786
Firebolt,45,37,12,R,1.0,Sorcery,0.75,0.5487804878048781,1.0492457106057618
Grim Lavamancer,49,41,12,R,1.0,Creature,0.75,0.5444444444444444,1.0770019918919862
Sharp-Eyed Rookie,30,36,9,G,2.0,Creature,0.75,0.45454545454545453,0.9323775421175652
Dark Confidant,24,20,6,B,2.0,Creature,0.75,0.5454545454545454,1.1195369951000886
Talon Gates of Madara,30,17,6,,0.0,Land,0.75,0.6382978723404256,1.1675575303746302
Eternal Witness,32,35,9,G,3.0,Creature,0.75,0.47761194029850745,0.996712079676994
Hedge Maze,37,31,9,GU,0.0,Land,0.75,0.5441176470588235,1.1160055018672894
Flame Slash,24,15,6,R,1.0,Sorcery,0.75,0.6153846153846154,1.2165529116173674
Touch the Spirit Realm,34,31,9,W,3.0,Enchantment,0.75,0.5230769230769231,0.9961114489069507
Izzet Boilerworks,23,33,9,RU,0.0,Land,0.75,0.4107142857142857,0.8861276198888938
Bristlebud Farmer,16,30,6,G,4.0,Creature,0.75,0.34782608695652173,0.845936982087824
Counterspell,36,40,11,U,2.0,Instant,0.7333333333333333,0.47368421052631576,0.9496763366517258
Fateful Absence,50,27,11,W,2.0,Instant,0.7333333333333333,0.6493506493506493,1.1808018559072202
Intrepid Adversary,48,38,11,W,2.0,Creature,0.7333333333333333,0.5581395348837209,1.0641193833841132
Mawloc,32,47,11,GR,2.0,Creature,0.7333333333333333,0.4050632911392405,0.8798516135441833
Ephemerate,56,23,11,W,1.0,Instant,0.7333333333333333,0.7088607594936709,1.2163515966522653
Miscalculation,33,25,8,U,2.0,Instant,0.7272727272727273,0.5689655172413793,1.0507886865892488
Hazoret the Fervent,33,24,8,R,4.0,Creature,0.7272727272727273,0.5789473684210527,1.1807177453529416
Restless Prairie,26,30,8,GW,0.0,Land,0.7272727272727273,0.4642857142857143,0.928057564356542
Phyrexian Fleshgorger,31,29,8,B,7.0,Creature,0.7272727272727273,0.5166666666666667,1.1342483569943598
Lórien Revealed,26,28,8,U,5.0,Sorcery,0.7272727272727273,0.48148148148148145,0.9793051113668458
Infernal Grasp,31,23,8,B,2.0,Instant,0.7272727272727273,0.5740740740740741,1.0688475298319835
"Liliana, Dreadhorde General",24,30,8,B,6.0,Planeswalker,0.7272727272727273,0.4444444444444444,0.9261224908075462
